код;название;код родит. системы;комментарий
33-31-00;ОСВЕЩЕНИЕ БАГАЖНО-ГРУЗОВЫХ ОТСЕКОВ;33-00-00;
33-32-00;ОСВЕЩЕНИЕ ОТСЕКА ВСУ;33-00-00;
33-33-00;ОСВЕЩЕНИЕ ТЕХНИЧЕСКИХ ОТСЕКОВ;33-00-00;
33-41-00;ОСВЕЩЕНИЕ ПЕРЕДНЕЙ КРОМКИ КРЫЛА И ВОЗДУХОЗАБОРНИКА ДВИГАТЕЛЯ;33-00-00;
33-42-00;ВЗЛЁТНО-ПОСАДОЧНЫЕ ФАРЫ;33-00-00;
33-44-00;АЭРОНАВИГАЦИОННЫЕ ОГНИ;33-00-00;
33-45-00;РУЛЕЖНЫЕ ФАРЫ;33-00-00;
33-46-00;ФАРЫ ОСВЕЩЕНИЯ ЭМБЛЕМЫ;33-00-00;
33-47-00;ПРОБЛЕСКОВЫЕ МАЯКИ ПРЕДУПРЕЖДЕНИЯ СТОЛКНОВЕНИЙ;33-00-00;
33-50-00;АВАРИЙНОЕ СВЕТОТЕХНИЧЕСКОЕ ОБОРУДОВАНИЕ;33-00-00;
34-11-00;СИСТЕМА ВОЗДУШНЫХ СИГНАЛОВ;34-00-00;
34-21-00;ИНЕРЦИАЛЬНАЯ СИСТЕМА;34-00-00;
34-22-00;РЕЗЕРВНЫЕ ПРИБОРЫ;34-00-00;
34-31-00;СИСТЕМА ИНСТРУМЕНТАЛЬНОЙ ПОСАДКИ;34-00-00;
34-41-00;РАДИОЧАСТОТНАЯ СИСТЕМА ИЗМЕРЕНИЯ ВЫСОТЫ;34-00-00;
34-42-00;СИСТЕМА МЕТЕОЛОКАЦИИ;34-00-00;
34-43-00;СИСТЕМА ПРЕДОТВРАЩЕНИЯ СТОЛКНОВЕНИЯ В ВОЗДУХЕ И РАННЕГО ПРЕДУПРЕЖДЕНИЯ ПРИБЛИЖЕНИЯ К ЗЕМЛЕ;34-00-00;
34-51-00;ГЛОБАЛЬНАЯ НАВИГАЦИОННАЯ СПУТНИКОВАЯ СИСТЕМА (ГЛОНАСС);34-00-00;
34-52-00;ГЛОБАЛЬНАЯ СИСТЕМА ОПРЕДЕЛЕНИЯ МЕСТОПОЛОЖЕНИЯ (GPS);34-00-00;
34-53-00;СИСТЕМА УПРАВЛЕНИЯ ВОЗДУШНЫМ ДВИЖЕНИЕМ;34-00-00;
34-54-00;СИСТЕМА ВСЕНАПРАВЛЕННОГО И МАРКЕРНОГО РАДИОМАЯКОВ;34-00-00;
34-55-00;ДАЛЬНОМЕРНОЕ ОБОРУДОВАНИЕ;34-00-00;
34-56-00;АВТОМАТИЧЕСКИЙ РАДИОКОМПАС;34-00-00;
34-61-00;ВЫЧИСЛИТЕЛЬНАЯ СИСТЕМА САМОЛЁТОВОЖДЕНИЯ;34-00-00;
35-11-00;КИСЛОРОДНОЕ ОБОРУДОВАНИЕ ДЛЯ ЭКИПАЖА;35-00-00;
35-21-00;КИСЛОРОДНОЕ ОБОРУДОВАНИЕ ДЛЯ ПАССАЖИРОВ;35-00-00;
36-11-00;СИСТЕМА ОТБОРА ВОЗДУХА ОТ ДВИГАТЕЛЯ;36-00-00;
36-12-00;СИСТЕМА ОТБОРА ВОЗДУХА ОТ ВСУ;36-00-00;
36-21-00;СИСТЕМА КОНТРОЛЯ ТЕМПЕРАТУРЫ И ДАВЛЕНИЯ;36-00-00;
