Имя;Номер работы;Раздел;Подраздел;Код системы;Номер страницы начальной;Номер страницы конечной;Номер фактической страницы
Неправильный порядок чередования фаз генератора левого двигателя;24-20-00-810-876;24-20-00;810-876;24-20-00;201;202;255
Отказ сервоклапана привод-генератора левого двигателя;24-20-00-810-877;24-20-00;810-877;24-20-00;201;202;257
Срабатывание ручного расцепления привод-генератора и коробки приводов левого двигателя;24-20-00-810-878;24-20-00;810-878;24-20-00;201;202;259
Отказ при ручном расцеплении привод-генератора и коробки приводов левого двигателя;24-20-00-810-879;24-20-00;810-879;24-20-00;201;202;261
Срабатывание защиты от обрыва фаз генератора левого двигателя, вызванное обрывом фазы A;24-20-00-810-880;24-20-00;810-880;24-20-00;201;202;263
Срабатывание защиты от обрыва фаз генератора левого двигателя, вызванное обрывом фазы B;24-20-00-810-881;24-20-00;810-881;24-20-00;201;202;265
Срабатывание защиты от обрыва фаз генератора левого двигателя, вызванное обрывом фазы C;24-20-00-810-882;24-20-00;810-882;24-20-00;201;202;267
"""Холодный старт"" блока управления генератором левого двигателя после прерывания питания блока ";24-20-00-810-883;24-20-00;810-883;24-20-00;201;202;269
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К1);24-20-00-810-884;24-20-00;810-884;24-20-00;201;202;271
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К41);24-20-00-810-885;24-20-00;810-885;24-20-00;201;202;273
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К42);24-20-00-810-886;24-20-00;810-886;24-20-00;201;202;275
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К2);24-20-00-810-887;24-20-00;810-887;24-20-00;201;202;277
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К31);24-20-00-810-888;24-20-00;810-888;24-20-00;201;202;279
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К32);24-20-00-810-889;24-20-00;810-889;24-20-00;201;202;281
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния кнопки-табло FIRE левого двигателя);24-20-00-810-890;24-20-00;810-890;24-20-00;201;202;283
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь A определения состояния перемычек программирования);24-20-00-810-891;24-20-00;810-891;24-20-00;201;202;285
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь B определения состояния перемычек программирования);24-20-00-810-892;24-20-00;810-892;24-20-00;201;202;287
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния кнопки-табло L GEN положения OFF);24-20-00-810-893;24-20-00;810-893;24-20-00;201;202;289
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния кнопки-табло L GEN положения ON);24-20-00-810-894;24-20-00;810-894;24-20-00;201;202;291
Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния кнопки-табло L GEN DRIVE-OFF);24-20-00-810-895;24-20-00;810-895;24-20-00;201;202;293
