Номер подработы,Обозначение,Фраза,Номер работы,Название,Порядок работ,Результат,Условие выполнения,Причины
24-32-00-810-823-5-АА-4,5/А,"Выполните проверку и ремонт электропроводки от 84‑P246, контакт X2:D до 8‑T314, контакт B2J",24-32-00-810-823-5-А-1,"Проверка и ремонт электропроводки от 84‑P246, контакт X2:D до 8‑T314, контакт B2J",4,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отсутствует информация о напряжении аккумуляторной батареи 3,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка и ремонт электропроводки между устройством распределительным постоянного тока (84‑Р246) и модулями центральными вычислительными (6‑T314) и (8‑T314),,,,,,,,
24-32-00-810-824-5-АА-1,5/А,"Произведите проверку и ремонт электропроводки от 84‑P246, контакт X2:A до 6‑T314, контакт B1K",24-32-00-810-824-5-А-1,"Проверка и ремонт электропроводки от 84‑P246, контакт X2:A до 6‑T314, контакт B1K",1,,,
24-32-00-810-824-5-АА-2,5/А,"Произведите проверку и ремонт электропроводки от 84‑P246, контакт X2:B до 8‑T314, контакт B1K",24-32-00-810-824-5-А-1,"Проверка и ремонт электропроводки от 84‑P246, контакт X2:B до 8‑T314, контакт B1K",2,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отсутствует информация о напряжении аккумуляторной батареи 3,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка и ремонт электропроводки между устройством распределительным постоянного тока (84‑Р246) и модулями центральными вычислительными (6‑T314) и (8‑T314),,,,,,,,
24-32-00-810-824-5-АА-1,5/А,"Произведите проверку и ремонт электропроводки от 84‑P246, контакт X2:A до 6‑T314, контакт B1K",24-32-00-810-824-5-А-1,"Проверка и ремонт электропроводки от 84‑P246, контакт X2:A до 6‑T314, контакт B1K",1,,,
24-32-00-810-824-5-АА-2,5/А,"Произведите проверку и ремонт электропроводки от 84‑P246, контакт X2:B до 8‑T314, контакт B1K",24-32-00-810-824-5-А-1,"Проверка и ремонт электропроводки от 84‑P246, контакт X2:B до 8‑T314, контакт B1K",2,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отсутствует информация о токе аккумуляторной батареи 4,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка и ремонт электропроводки между устройством распределительным постоянного тока (85‑Р246) и модулями центральными вычислительными (6‑T314) и (8‑T314),,,,,,,,
24-32-00-810-828-5-АА-1,5/А,"Произведите проверку и ремонт электропроводки от 85‑P246, контакт X2:P до 6‑T314, контакт A10B",24-32-00-810-828-5-А-1,"Проверка и ремонт электропроводки от 85‑P246, контакт X2:P до 6‑T314, контакт A10B",1,,,
24-32-00-810-828-5-АА-2,5/А,"Произведите проверку и ремонт электропроводки от 85‑P246, контакт X2:N до 6‑T314, контакт A10A",24-32-00-810-828-5-А-1,"Проверка и ремонт электропроводки от 85‑P246, контакт X2:N до 6‑T314, контакт A10A",2,,,
24-32-00-810-828-5-АА-3,5/А,"Произведите проверку и ремонт электропроводки от 85‑P246, контакт X2:P до 8‑T314, контакт A10B",24-32-00-810-828-5-А-1,"Проверка и ремонт электропроводки от 85‑P246, контакт X2:P до 8‑T314, контакт A10B",3,,,
24-32-00-810-828-5-АА-4,5/А,"Произведите проверку и ремонт электропроводки от 85‑P246, контакт X2:N до 8‑T314, контакт A10A",24-32-00-810-828-5-А-1,"Проверка и ремонт электропроводки от 85‑P246, контакт X2:N до 8‑T314, контакт A10A",4,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отсутствует информация о напряжении аккумуляторной батареи 4,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка и ремонт электропроводки между устройством распределительным постоянного тока (85‑Р246) и модулями центральными вычислительными (6‑T314) и (8‑T314),,,,,,,,
24-32-00-810-828-5-АА-1,5/А,"Произведите проверку и ремонт электропроводки от 85‑P246, контакт X2:K до 6‑T314, контакт A11B",24-32-00-810-828-5-А-1,"Проверка и ремонт электропроводки от 85‑P246, контакт X2:K до 6‑T314, контакт A11B",1,,,
24-32-00-810-828-5-АА-2,5/А,"Произведите проверку и ремонт электропроводки от 85‑P246, контакт X2:G до 8‑T314, контакт A11B",24-32-00-810-828-5-А-1,"Проверка и ремонт электропроводки от 85‑P246, контакт X2:G до 8‑T314, контакт A11B",2,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Неисправность подключения наземного источника питания,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка и ремонт кабельной сети на целостность и сопротивление изоляции,,,,,,,,
24-41-00-810-801-5-ВВ-1,5/В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВС3 до 5‑F311‑B: Контакт 20,24-41-00-810-801-5-В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВС3 до 5‑F311‑B: Контакт 20,1,,,
24-41-00-810-801-5-ВВ-2,5/В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВE14 до 47‑X245‑X1: Контакт F,24-41-00-810-801-5-В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВE14 до 47‑X245‑X1: Контакт F,2,,,
24-41-00-810-801-5-ВВ-3,5/В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВD15 до 47‑X245‑X1: Контакт E,24-41-00-810-801-5-В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВD15 до 47‑X245‑X1: Контакт E,3,,,
24-41-00-810-801-5-ВВ-4,5/В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВE15 до 47‑X245‑X1: Контакт D,24-41-00-810-801-5-В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВE15 до 47‑X245‑X1: Контакт D,4,,,
24-41-00-810-801-5-ВВ-5,5/В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВD14 до 47‑X245‑X1: Контакт C,24-41-00-810-801-5-В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВD14 до 47‑X245‑X1: Контакт C,5,,,
24-41-00-810-801-5-ВВ-6,5/В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВE11 до 14‑X242‑E,24-41-00-810-801-5-В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВE11 до 14‑X242‑E,6,,,
24-41-00-810-801-5-ВВ-7,5/В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВE12 до 14‑X242‑F,24-41-00-810-801-5-В,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт ВE12 до 14‑X242‑F,7,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Неисправность подключения наземного источника питания,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка и ремонт кабельной сети на целостность и сопротивление между блоком управления генератором ВСУ и наземным питанием (4‑X242) и распределительным устройством переменного тока (47−X245),,,,,,,,
24-41-00-810-801-5-ГГ-1,5/Г,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт С5 до 47‑X245‑X4: Контакт G,24-41-00-810-801-5-Г,Проверка и ремонт кабельной сети на целостность и сопротивление изоляции от 4‑X242‑P1: Контакт С5 до 47‑X245‑X4: Контакт G,1,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отсутствует информация о напряжении на левой шине постоянного тока,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
"/*Проверка и ремонт электропроводки между модулями центральными вычислительными (5-T314), (7-T314) и устройством распределительным постоянного тока (82-P246)",,,,,,,,
24-61-00-810-805-5-АА-1,5/А,"Произведите проверку и ремонт электропроводки от 5-T314, контакт B-B5 до 82-P246, контакт Х1:T",24-61-00-810-805-5-А,"Проверка и ремонт электропроводки от 5-T314, контакт B-B5 до 82-P246, контакт Х1:T",1,,,
24-61-00-810-805-5-АА-2,5/А,"Произведите проверку и ремонт электропроводки от 5-T314, контакт B-A5 до Корпус самолета",24-61-00-810-805-5-А,"Проверка и ремонт электропроводки от 5-T314, контакт B-A5 до Корпус самолета",2,,,
24-61-00-810-805-5-АА-3,5/А,"Произведите проверку и ремонт электропроводки от 7-T314, контакт B-B5 до 82-P246, контакт Х8:B",24-61-00-810-805-5-А,"Проверка и ремонт электропроводки от 7-T314, контакт B-B5 до 82-P246, контакт Х8:B",3,,,
24-61-00-810-805-5-АА-4,5/А,"Произведите проверку и ремонт электропроводки от 7-T314, контакт B-A5 до Корпус самолета",24-61-00-810-805-5-А,"Проверка и ремонт электропроводки от 7-T314, контакт B-A5 до Корпус самолета",4,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отсутствует информация о напряжении на правой шине постоянного тока,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
"/*Проверка и ремонт электропроводки между модулями центральными вычислительными (6‑T314), (8‑T314) и устройством распределительным постоянного тока (83‑P246)",,,,,,,,
24-61-00-810-806-5-АА-1,5/А,"Произведите проверку и ремонт электропроводки от 6-T314, контакт B-B5 до 83-P246, контакт Х9:V",24-61-00-810-806-5-А,"Проверка и ремонт электропроводки от 6-T314, контакт B-B5 до 83-P246, контакт Х9:V",1,,,
24-61-00-810-806-5-АА-2,5/А,"Произведите проверку и ремонт электропроводки от 6-T314, контакт B-A5 до Корпус самолета",24-61-00-810-806-5-А,"Проверка и ремонт электропроводки от 6-T314, контакт B-A5 до Корпус самолета",2,,,
24-61-00-810-806-5-АА-3,5/А,"Произведите проверку и ремонт электропроводки от 8-T314, контакт B-B5 до 83-P246, контакт Х7:AA",24-61-00-810-806-5-А,"Проверка и ремонт электропроводки от 8-T314, контакт B-B5 до 83-P246, контакт Х7:AA",3,,,
24-61-00-810-806-5-АА-4,5/А,"Произведите проверку и ремонт электропроводки от 8-T314, контакт B-A5 до Корпус самолета",24-61-00-810-806-5-А,"Проверка и ремонт электропроводки от 8-T314, контакт B-A5 до Корпус самолета",4,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 1,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка напряжения питания на ответной части разъема LMU (20-P246),,,,,,,,
24-61-00-810-809-5-ААА-1,5/А,"Напряжение 28 V от 20-P246-x, контакт B106 до 20-P246-x, контакт B101",24-61-00-810-809-5-АА,"Проверка напряжения от 20-P246-x, контакт B106 до 20-P246-x, контакт B101",1,,,
24-61-00-810-809-5-ААА-2,5/А,"Напряжение 28 V от 20-P246-x, контакт B107 до 20-P246-x, контакт B102",24-61-00-810-809-5-АА,"Проверка напряжения от 20-P246-x, контакт B107 до 20-P246-x, контакт B102",2,,,
24-61-00-810-809-5-ААА-3,5/А,"Напряжение 28 V от 20-P246-x, контакт B108 до 20-P246-x, контакт B103",24-61-00-810-809-5-АА,"Проверка напряжения от 20-P246-x, контакт B108 до 20-P246-x, контакт B103",3,,,
24-61-00-810-809-5-ААА-4,5/А,"Напряжение 28 V от 20‑P246‑x, контакт B109 до 20-P246-x, контакт B104",24-61-00-810-809-5-АА,"Проверка напряжения от 20‑P246‑x, контакт B109 до 20-P246-x, контакт B104",4,,,
24-61-00-810-809-5-ААА-5,5/А,"Напряжение 28 V от 20-P246-x, контакт B110 до 20-P246-x, контакт B105",24-61-00-810-809-5-АА,"Проверка напряжения от 20-P246-x, контакт B110 до 20-P246-x, контакт B105",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 1,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка наличия заземления на контактах ответной части разъема LMU (20-P246),,,,,,,,
24-61-00-810-809-5-ББ-1,5/Б/(1),"Проверьте наличие заземления от 20-P246-x, контакт B101 до Корпус самолета",24-61-00-810-809-5-Б-1,"Проверка наличия заземления от 20-P246-x, контакт B101 до Корпус самолета",1,,,
24-61-00-810-809-5-ББ-2,5/Б/(1),"Проверьте наличие заземления от 20-P246-x, контакт B102 до Корпус самолета",24-61-00-810-809-5-Б-1,"Проверка наличия заземления от 20-P246-x, контакт B102 до Корпус самолета",2,,,
24-61-00-810-809-5-ББ-3,5/Б/(1),"Проверьте наличие заземления от 20-P246-x, контакт B103 до Корпус самолета",24-61-00-810-809-5-Б-1,"Проверка наличия заземления от 20-P246-x, контакт B103 до Корпус самолета",3,,,
24-61-00-810-809-5-ББ-4,5/Б/(1),"Проверьте наличие заземления от 20-P246-x, контакт B104 до Корпус самолета",24-61-00-810-809-5-Б-1,"Проверка наличия заземления от 20-P246-x, контакт B104 до Корпус самолета",4,,,
24-61-00-810-809-5-ББ-5,5/Б/(1),"Проверьте наличие заземления от 20-P246-x, контакт B105 до Корпус самолета",24-61-00-810-809-5-Б-1,"Проверка наличияе заземления от 20-P246-x, контакт B105 до Корпус самолета",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 2,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка напряжения питания на ответной части разъема LMU (21-P246),,,,,,,,
24-61-00-810-810-5-ААА-1,5/А,"Напряжение 28 V от 21-P246-x, контакт B106 до 21-P246-x, контакт B101",24-61-00-810-810-5-АА,"Проверка напряжения от 21-P246-x, контакт B106 до 21-P246-x, контакт B101",1,,,
24-61-00-810-810-5-ААА-2,5/А,"Напряжение 28 V от 21-P246-x, контакт B107 до 21-P246-x, контакт B102",24-61-00-810-810-5-АА,"Проверка напряжения от 21-P246-x, контакт B107 до 21-P246-x, контакт B102",2,,,
24-61-00-810-810-5-ААА-3,5/А,"Напряжение 28 V от 21-P246-x, контакт B108 до 21-P246-x, контакт B103",24-61-00-810-810-5-АА,"Проверка напряжения от 21-P246-x, контакт B108 до 21-P246-x, контакт B103",3,,,
24-61-00-810-810-5-ААА-4,5/А,"Напряжение 28 V от 21-P246-x, контакт B109 до 21-P246-x, контакт B104",24-61-00-810-810-5-АА,"Проверка напряжения от 21-P246-x, контакт B109 до 21-P246-x, контакт B104",4,,,
24-61-00-810-810-5-ААА-5,5/А,"Напряжение 28 V от 21-P246-x, контакт B110 до 21-P246-x, контакт B105",24-61-00-810-810-5-АА,"Проверка напряжения от 21-P246-x, контакт B110 до 21-P246-x, контакт B105",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 2,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка наличия заземления на контактах ответной части разъема LMU (21-P246),,,,,,,,
24-61-00-810-810-5-ББ-1,5/Б/(1),"Проверьте наличие заземления от 21-P246-x, контакт B101 до Корпус самолета",24-61-00-810-810-5-Б-1,"Проверка наличия заземления от 21-P246-x, контакт B101 до Корпус самолета",1,,,
24-61-00-810-810-5-ББ-2,5/Б/(1),"Проверьте наличие заземления от 21-P246-x, контакт B102 до Корпус самолета",24-61-00-810-810-5-Б-1,"Проверка наличия заземления от 21-P246-x, контакт B102 до Корпус самолета",2,,,
24-61-00-810-810-5-ББ-3,5/Б/(1),"Проверьте наличие заземления от 21-P246-x, контакт B103 до Корпус самолета",24-61-00-810-810-5-Б-1,"Проверка наличия заземления от 21-P246-x, контакт B103 до Корпус самолета",3,,,
24-61-00-810-810-5-ББ-4,5/Б/(1),"Проверьте наличие заземления от 21-P246-x, контакт B104 до Корпус самолета",24-61-00-810-810-5-Б-1,"Проверка наличия заземления от 21-P246-x, контакт B104 до Корпус самолета",4,,,
24-61-00-810-810-5-ББ-5,5/Б/(1),"Проверьте наличие заземления от 21-P246-x, контакт B105 до Корпус самолета",24-61-00-810-810-5-Б-1,"Проверка наличия заземления от 21-P246-x, контакт B105 до Корпус самолета",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 3,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка напряжения питания на ответной части разъема LMU (15-P246),,,,,,,,
24-61-00-810-811-5-ААА-1,5/А,"Напряжение 28 V от 15-P246-x, контакт B106 до 15-P246-x, контакт B101",24-61-00-810-811-5-АА,"Проверка напряжения от 15-P246-x, контакт B106 до 15-P246-x, контакт B101",1,,,
24-61-00-810-811-5-ААА-2,5/А,"Напряжение 28 V от 15-P246-x, контакт B107 до 15-P246-x, контакт B102",24-61-00-810-811-5-АА,"Проверка напряжения от 15-P246-x, контакт B107 до 15-P246-x, контакт B102",2,,,
24-61-00-810-811-5-ААА-3,5/А,"Напряжение 28 V от 15-P246-x, контакт B108 до 15-P246-x, контакт B103",24-61-00-810-811-5-АА,"Проверка напряжения от 15-P246-x, контакт B108 до 15-P246-x, контакт B103",3,,,
24-61-00-810-811-5-ААА-4,5/А,"Напряжение 28 V от 15-P246-x, контакт B109 до 15-P246-x, контакт B104",24-61-00-810-811-5-АА,"Проверка напряжения от 15-P246-x, контакт B109 до 15-P246-x, контакт B104",4,,,
24-61-00-810-811-5-ААА-5,5/А,"Напряжение 28 V от 15-P246-x, контакт B110 до 15-P246-x, контакт B105",24-61-00-810-811-5-АА,"Проверка напряжения от 15-P246-x, контакт B110 до 15-P246-x, контакт B105",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 3,,,,,,,,
/*Проверка наличия заземления на контактах ответной части разъема LMU (15-P246),,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
24-61-00-810-811-5-ББ-1,5/Б/(1),"Проверьте наличие заземления от 15-P246-x, контакт B101 до Корпус самолета",24-61-00-810-811-5-Б-1,"Проверка наличия заземления от 15-P246-x, контакт B101 до Корпус самолета",1,,,
24-61-00-810-811-5-ББ-2,5/Б/(1),"Проверьте наличие заземления от 15-P246-x, контакт B102 до Корпус самолета",24-61-00-810-811-5-Б-1,"Проверка наличия заземления от 15-P246-x, контакт B102 до Корпус самолета",2,,,
24-61-00-810-811-5-ББ-3,5/Б/(1),"Проверьте наличие заземления от 51-P246-x, контакт B103 до Корпус самолета",24-61-00-810-811-5-Б-1,"Проверка наличия заземления от 51-P246-x, контакт B103 до Корпус самолета",3,,,
24-61-00-810-811-5-ББ-4,5/Б/(1),"Проверьте наличие заземления от 15-P246-x, контакт B104 до Корпус самолета",24-61-00-810-811-5-Б-1,"Проверка наличия заземления от 15-P246-x, контакт B104 до Корпус самолета",4,,,
24-61-00-810-811-5-ББ-5,5/Б/(1),"Проверьте наличие заземления от 15-P246-x, контакт B105 до Корпус самолета",24-61-00-810-811-5-Б-1,"Проверка наличия заземления от 15-P246-x, контакт B105 до Корпус самолета",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 4,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка напряжения питания на ответной части разъема LMU (19-P246),,,,,,,,
24-61-00-810-812-5-ААА-1,5/А,"Напряжение 28 V от 19-P246-x, контакт B106 до 19-P246-x, контакт B101",24-61-00-810-812-5-АА,"Проверка напряжения от 19-P246-x, контакт B106 до 19-P246-x, контакт B101",1,,,
24-61-00-810-812-5-ААА-2,5/А,"Напряжение 28 V от 19-P246-x, контакт B107 до 19-P246-x, контакт B102",24-61-00-810-812-5-АА,"Проверка напряжения от 19-P246-x, контакт B107 до 19-P246-x, контакт B102",2,,,
24-61-00-810-812-5-ААА-3,5/А,"Напряжение 28 V от 19-P246-x, контакт B108 до 19-P246-x, контакт B103",24-61-00-810-812-5-АА,"Проверка напряжения от 19-P246-x, контакт B108 до 19-P246-x, контакт B103",3,,,
24-61-00-810-812-5-ААА-4,5/А,"Напряжение 28 V от 19-P246-x, контакт B109 до 19-P246-x, контакт B104",24-61-00-810-812-5-АА,"Проверка напряжения от 19-P246-x, контакт B109 до 19-P246-x, контакт B104",4,,,
24-61-00-810-812-5-ААА-5,5/А,"Напряжение 28 V от 19-P246-x, контакт B110 до 19-P246-x, контакт B105",24-61-00-810-812-5-АА,"Проверка напряжения от 19-P246-x, контакт B110 до 19-P246-x, контакт B105",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 4,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка наличия заземления на контактах ответной части разъема LMU (19-P246),,,,,,,,
24-61-00-810-812-5-ББ-1,5/Б/(1),"Проверьте наличие заземления от 19-P246-x, контакт B101 до Корпус самолета",24-61-00-810-812-5-Б-1,"Проверка наличия заземления от 19-P246-x, контакт B101 до Корпус самолета",1,,,
24-61-00-810-812-5-ББ-2,5/Б/(1),"Проверьте наличие заземления от 19-P246-x, контакт B102 до Корпус самолета",24-61-00-810-812-5-Б-1,"Проверка наличия заземления от 19-P246-x, контакт B102 до Корпус самолета",2,,,
24-61-00-810-812-5-ББ-3,5/Б/(1),"Проверьте наличие заземления от 19-P246-x, контакт B103 до Корпус самолета",24-61-00-810-812-5-Б-1,"Проверка наличия заземления от 19-P246-x, контакт B103 до Корпус самолета",3,,,
24-61-00-810-812-5-ББ-4,5/Б/(1),"Проверьте наличие заземления от 19-P246-x, контакт B104 до Корпус самолета",24-61-00-810-812-5-Б-1,"Проверка наличия заземления от 19-P246-x, контакт B104 до Корпус самолета",4,,,
24-61-00-810-812-5-ББ-5,5/Б/(1),"Проверьте наличие заземления от 19-P246-x, контакт B105 до Корпус самолета",24-61-00-810-812-5-Б-1,"Проверка наличия заземления от 19-P246-x, контакт B105 до Корпус самолета",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 5,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка напряжения питания на ответной части разъема LMU (16-P246),,,,,,,,
24-61-00-810-813-5-ААА-1,5/А,"Напряжение 28 V от 16-P246-x, контакт B106 до 16-P246-x, контакт B101",24-61-00-810-813-5-АА,"Проверка напряжения от 16-P246-x, контакт B106 до 16-P246-x, контакт B101",1,,,
24-61-00-810-813-5-ААА-2,5/А,"Напряжение 28 V от 16-P246-x, контакт B107 до 16-P246-x, контакт B102",24-61-00-810-813-5-АА,"Проверка напряжения от 16-P246-x, контакт B107 до 16-P246-x, контакт B102",2,,,
24-61-00-810-813-5-ААА-3,5/А,"Напряжение 28 V от 16-P246-x, контакт B108 до 16-P246-x, контакт B103",24-61-00-810-813-5-АА,"Проверка напряжения от 16-P246-x, контакт B108 до 16-P246-x, контакт B103",3,,,
24-61-00-810-813-5-ААА-4,5/А,"Напряжение 28 V от 16-P246-x, контакт B109 до 16-P246-x, контакт B104",24-61-00-810-813-5-АА,"Проверка напряжения от 16-P246-x, контакт B109 до 16-P246-x, контакт B104",4,,,
24-61-00-810-813-5-ААА-5,5/А,"Напряжение 28 V от 16-P246-x, контакт B110 до 16-P246-x, контакт B105",24-61-00-810-813-5-АА,"Проверка напряжения от 16-P246-x, контакт B110 до 16-P246-x, контакт B105",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 5,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка наличия заземления на контактах ответной части разъема LMU (16-P246),,,,,,,,
24-61-00-810-813-5-ББ-1,5/Б/(1),"Проверьте наличие заземления от 16-P246-x, контакт B101 до Корпус самолета",24-61-00-810-813-5-Б-1,"Проверка наличия заземления от 16-P246-x, контакт B101 до Корпус самолета",1,,,
24-61-00-810-813-5-ББ-2,5/Б/(1),"Проверьте наличие заземления от 16-P246-x, контакт B102 до Корпус самолета",24-61-00-810-813-5-Б-1,"Проверка наличия заземления от 16-P246-x, контакт B102 до Корпус самолета",2,,,
24-61-00-810-813-5-ББ-3,5/Б/(1),"Проверьте наличие заземления от 16-P246-x, контакт B103 до Корпус самолета",24-61-00-810-813-5-Б-1,"Проверка наличия заземления от 16-P246-x, контакт B103 до Корпус самолета",3,,,
24-61-00-810-813-5-ББ-4,5/Б/(1),"Проверьте наличие заземления от 16-P246-x, контакт B104 до Корпус самолета",24-61-00-810-813-5-Б-1,"Проверка наличия заземления от 16-P246-x, контакт B104 до Корпус самолета",4,,,
24-61-00-810-813-5-ББ-5,5/Б/(1),"Проверьте наличие заземления от 16-P246-x, контакт B105 до Корпус самолета",24-61-00-810-813-5-Б-1,"Проверка наличия заземления от 16-P246-x, контакт B105 до Корпус самолета",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 6,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка напряжения питания на ответной части разъема LMU (62-P246),,,,,,,,
24-61-00-810-814-5-ААА-1,5/А,"Напряжение 28 V от 62-P246-x, контакт B106 до 62-P246-x, контакт B101",24-61-00-810-814-5-АА,"Проверка напряжения от 62-P246-x, контакт B106 до 62-P246-x, контакт B101",1,,,
24-61-00-810-814-5-ААА-2,5/А,"Напряжение 28 V от 62-P246-x, контакт B107 до 62-P246-x, контакт B102",24-61-00-810-814-5-АА,"Проверка напряжения от 62-P246-x, контакт B107 до 62-P246-x, контакт B102",2,,,
24-61-00-810-814-5-ААА-3,5/А,"Напряжение 28 V от 62-P246-x, контакт B108 до 62-P246-x, контакт B103",24-61-00-810-814-5-АА,"Проверка напряжения от 62-P246-x, контакт B108 до 62-P246-x, контакт B103",3,,,
24-61-00-810-814-5-ААА-4,5/А,"Напряжение 28 V от 62-P246-x, контакт B109 до 62-P246-x, контакт B104",24-61-00-810-814-5-АА,"Проверка напряжения от 62-P246-x, контакт B109 до 62-P246-x, контакт B104",4,,,
24-61-00-810-814-5-ААА-5,5/А,"Напряжение 28 V от 62-P246-x, контакт B110 до 62-P246-x, контакт B105",24-61-00-810-814-5-АА,"Проверка напряжения от 62-P246-x, контакт B110 до 62-P246-x, контакт B105",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 6,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
/*Проверка наличия заземления на контактах ответной части разъема LMU (62-P246),,,,,,,,
24-61-00-810-814-5-ББ-1,5/Б/(1),"Проверьте наличие заземления от 62-P246-x, контакт B101 до Корпус самолета",24-61-00-810-814-5-Б-1,"Проверка наличия заземления от 62-P246-x, контакт B101 до Корпус самолета",1,,,
24-61-00-810-814-5-ББ-2,5/Б/(1),"Проверьте наличие заземления от 62-P246-x, контакт B102 до Корпус самолета",24-61-00-810-814-5-Б-1,"Проверка наличия заземления от 62-P246-x, контакт B102 до Корпус самолета",2,,,
24-61-00-810-814-5-ББ-3,5/Б/(1),"Проверьте наличие заземления от 62-P246-x, контакт B103 до Корпус самолета",24-61-00-810-814-5-Б-1,"Проверка наличия заземления от 62-P246-x, контакт B103 до Корпус самолета",3,,,
24-61-00-810-814-5-ББ-4,5/Б/(1),"Проверьте наличие заземления от 62-P246-x, контакт B104 до Корпус самолета",24-61-00-810-814-5-Б-1,"Проверка наличия заземления от 62-P246-x, контакт B104 до Корпус самолета",4,,,
24-61-00-810-814-5-ББ-5,5/Б/(1),"Проверьте наличие заземления от 62-P246-x, контакт B105 до Корпус самолета",24-61-00-810-814-5-Б-1,"Проверка наличия заземления от 62-P246-x, контакт B105 до Корпус самолета",5,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ канала блока выключателей-предохранителей 7,,,,,,,,
/*Поиск и устранение неисправности,,,,,,,,
