Номер подработы,Обозначение,Фраза,Номер работы,Название,Порядок работ,Результат,Условие выполнения,Причины
24-20-00-810-828-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-828,Поиск и устранение неисправности:,,,,
24-20-00-810-828-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-828,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Выход выдачи предупреждения отказа генератора левого двигателя ошибочно не активен,,,,,,,,
24-20-00-810-827-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-827,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-827-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-827,Поиск и устранение неисправности:,,,,
24-20-00-810-827-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-827,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Статус сигнала отключения привод‐генератора левого двигателя ошибочно активен,,,,,,,,
24-20-00-810-829-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-829,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-829-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-829,Поиск и устранение неисправности:,,,,
24-20-00-810-829-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-829,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ цепи определения частоты в точке регулирования или генератора на постоянных магнитах привод‐генератора левого двигателя,,,,,,,,
24-20-00-810-830-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-830,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-830-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-830,Поиск и устранение неисправности:,,,,
24-20-00-810-830-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-830,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Кнопка‐табло FIRE левого двигателя активна,,,,,,,,
24-20-00-810-831-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-831,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-831-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-831,Поиск и устранение неисправности:,,,,
24-20-00-810-831-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-831,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Ошибка програмирования блока управления генератором левого двигателя с помощью перемычек,,,,,,,,
24-20-00-810-832-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-832,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-832-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-832,Поиск и устранение неисправности:,,,,
24-20-00-810-832-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-832,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Сигнал статуса отключения генератора левого двигателя ошибочно активен,,,,,,,,
24-20-00-810-833-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-833,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-833-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-833,Поиск и устранение неисправности:,,,,
24-20-00-810-833-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-833,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Сигнал статуса отключения генератора левого двигателя ошибочно не активен,,,,,,,,
24-20-00-810-834-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-834,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-834-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-834,Поиск и устранение неисправности:,,,,
24-20-00-810-834-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-834,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Сигнал статуса наличия одного источника переменного тока от блока управления генератором левого двигателя ошибочно активен,,,,,,,,
24-20-00-810-835-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-835,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-835-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-835,Поиск и устранение неисправности:,,,,
24-20-00-810-835-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-835,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Сигнал статуса наличия одного источника переменного тока от блока управления генератором левого двигателя ошибочно не активен,,,,,,,,
24-20-00-810-836-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-836,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-836-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-836,Поиск и устранение неисправности:,,,,
24-20-00-810-836-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-836,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Сигнал статуса наличия блокировки превышения тока генератора левого двигателя ошибочно активен,,,,,,,,
24-20-00-810-837-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-837,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-837-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-837,Поиск и устранение неисправности:,,,,
24-20-00-810-837-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-837,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Сигнал статуса наличия блокировки при превышении тока генератора левого двигателя ошибочно не активен,,,,,,,,
24-20-00-810-838-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-838,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-838-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-838,Поиск и устранение неисправности:,,,,
24-20-00-810-838-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-838,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Коротокое замыкание или обрыв в цепи генератора на постоянных магнитах генератора левого двигателя,,,,,,,,
24-20-00-810-839-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-839,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-839-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-839,Поиск и устранение неисправности:,,,,
24-20-00-810-839-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-839,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Сигнал статуса наличия короткого замыкание или обрыва в цепи генератора на постоянных магнитах генератора левого двигателя ошибочно активен,,,,,,,,
24-20-00-810-840-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-840,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-840-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-840,Поиск и устранение неисправности:,,,,
24-20-00-810-840-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-840,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание защиты от повышенного напряжения генератора левого двигателя, вызванное отказом цепи точки регулирования ",,,,,,,,
24-20-00-810-841-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-841,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-841-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-841,Поиск и устранение неисправности:,,,,
24-20-00-810-841-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-841,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание защиты от повышенного напряжения генератора левого двигателя, вызванное коротким замыканием минусовой цепи возбудителя генератора левого двигателя на корпус или экран ",,,,,,,,
24-20-00-810-842-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-842,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-842-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-842,Поиск и устранение неисправности:,,,,
24-20-00-810-842-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-842,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
